SNO,Input Data,Target Data,Predicted Data
1,yelimaiyaakak,எளிமையாகக்,எளிமையாகக்
2,thoontriyathaal,தோன்றியதால்,தோனன்றியதால்
3,pongu,பொங்கு,பொங்கு
4,haris,ஹாரிஸ்,ாரிஸ்
5,ring,ரிங்க்,ரிிங்க்
6,amerikkarkal,அமெரிக்கர்கள்,அமெரிக்கர்கள்
7,nedunjchaeralaathan,நெடுஞ்சேரலாதன்,நெடுஞ்சேரலாதன்
8,kalloorikalum,கல்லூரிகளும்,கல்லூரிகளும்
9,nulainthana,நுழைந்தன,நுழைந்தன
10,seimadhi,செய்மதி,சயெ்மதி
11,kampankal,கம்பங்கள்,கம்ங்கள்
12,ggoo,கூ,கூ
13,booraun,போரான்,போரான்
14,seenivasa,சீனிவாச,சீனிவசா
15,maalai,மாலை,மாலலை
16,aalayangalin,ஆலயங்களின்,ஆலயங்களின்
17,vazhakku,வழக்கு,வழகக்ு
18,qamio,கேமியோ,கேமிோ
19,variyai,வரியை,வரியை
20,tamilagatthai,தமிழகத்தை,தமிழகத்தை
21,aakividum,ஆகிவிடும்,ஆகிவிடும்
22,nirubar,நிருபர்,நிருபர்
23,mohammad,முஹம்மத்,முஹம்மத்
24,carloos,கார்லோஸ்,கார்ோஸ்
25,vaayaal,தன்,தன்
26,seythamaiyaal,செய்தமையால்,செய்தமையால்
27,mishan,மிஷன்,மஷின்
28,paaluravu,பாலுறவு,பாலுறு
29,kuudukalil,கூடுகளில்,கூடுகளில்்
30,innooyai,இந்நோயை,இந்நநோயை
31,vaelaikkum,வேலைக்கும்,வேலைக்ுகம்
32,pooki,போகி,போிக
33,noolakangkalil,நூலகங்களில்,நூலகங்களில்
34,unta,உண்ட,உணட்
35,aruppukkottai,அருப்புக்கோட்டை,அருப்புக்கோட்டை
36,other,இதர,இதர
37,latsumiyin,லட்சுமியின்,லட்சுமியின்
38,baabaavin,பாபாவின்,பாபாிவன்
39,karpikka,கற்பிக்க,கற்பிக்க
40,tharunamaka,தருணமாக,தருணமாக
41,thamakkaena,தமக்கென,ததமக்கென
42,naadukadattha,நாடுகடத்த,நாடுடத்த
43,goalgalai,கோல்களை,கோல்களை
44,aboorvamaana,அபூர்வமான,அபபூர்வமான
45,tokaiyai,தொகையை,தொகையை
46,arupaththu,அறுபத்து,அறுபத்ுத
47,daklas,டக்ளஸ்,டக்ளஸ்
48,thirankalaiyum,திறன்களையும்,திறன்களயும்
49,anjaneyar,ஆஞ்சநேயர்,ஆஞ்சநேயர்
50,vettridaththai,வெற்றிடத்தை,வெற்றிடத்தை
51,wellsh,வெல்ஷ்,வெல்ஷ்
52,meniyai,மேனியை,மேனிியை
53,itara,இதர,இதரர
54,oill,ஆயில்,யஆில்
55,asokaa,அசோகா,அசோகா
56,chims,சிம்ஸ்,சிம்ஸ்
57,cholar,சோழர்,சோழர்
58,uruvaakavillai,உருவாகவில்லை,உருுவாகவில்லை
59,ilatchaththirkum,இலட்சத்திற்கும்,இலட்சத்தற்கும்
60,aayvukalin,ஆய்வுகளின்,ய்வுகளின்
61,cheyin,செயின்,செயின்
62,aarppaattangalai,ஆர்ப்பாட்டங்களை,ஆர்ப்பாட்டங்களை
63,segarippadhil,சேகரிப்பதில்,சேகரிப்பதில்
64,idaodhikkeedu,இடஒதுக்கீடு,இடஒது்ககீடு
65,avatrudan,அவற்றுடன்,அற்றுடன்
66,lachith,லசித்,லசித்
67,matrtravargalum,மற்றவர்களும்,மற்றவர்களும்
68,porulaagaum,பொருளாகும்,பொருளாும்
69,vetrtrikaramaaka,வெற்றிகரமாக,வெற்றிகரமாக
70,neettik,நீட்டிக்,நீட்டிக்்
71,quuantuumm,குவாண்டம்,குவாண்மட்
72,beatless,பீட்டில்ஸ்,பீடட்ில்ஸ்
73,kooppai,கோப்பை,கோபப்ை
74,biitles,பீட்டில்ஸ்,பீட்ில்ஸ்
75,coollie,கோலி,கோலி
76,yerpadakkoodiya,ஏற்படக்கூடிய,ஏற்படக்ககூடிய
77,panguthaarargalaaga,பங்குதாரர்களாக,பங்குதாரர்களாக
78,thuvangapata,துவங்கப்பட்ட,துவங்கப்பட்ட
79,mukaththuvaaraththil,முகத்துவாரத்தில்,முகத்துவாரத்தில்
80,kalyaanam,கல்யாணம்,கல்யாணம்
81,thamilakatthilum,தமிழகத்திலும்,திமழகத்திலும்
82,pukalpettravai,புகழ்பெற்றவை,புகழ்பெற்றவை
83,douuglass,டக்ளஸ்,டடக்ளஸ்
84,pulavar,புலவர்,புலர்
85,kolukattai,கொழுக்கட்டை,கொழுக்கட்டை
86,ikkoottaththil,இக்கூட்டத்தில்,இக்கூட்தட்தில்
87,bula,போலா,போலலா
88,uric,யூரிக்,யூரிிக்
89,kuzhukkal,குழுக்கள்,குழுக்கள்
90,bye,பை,பை
91,yaenai,ஏனை,ஏனை
92,thodarbudan,தொடர்புடன்,தொரட்புடன்
93,thuvangavillai,துவங்கவில்லை,துவங்வகில்லை
94,kaattuyir,காட்டுயிர்,காட்டுிர்
95,vaei,வேய்,வேய்
96,masuthikku,மசூதிக்கு,மசூதிக்கு
97,kaettullaar,கேட்டுள்ளார்,கடே்டுள்ளார்
98,kolgalai,கோல்களை,கோல்களை
99,uruppugal,உறுப்புகள்,உறுப்புகள்
100,yuneskoa,யுனெஸ்கோ,யுனெஸ்கோ
101,ilamvayathilaeyae,இளம்வயதிலேயே,இளம்வயதிலலேயே
102,chudalai,சுடலை,சுடடலை
103,naagareegaththai,நாகரீகத்தை,நாாகரீகத்தை
104,poagiraen,போகிறேன்,போகிறேன்
105,kurdu,குர்து,குர்த
106,hankeariyil,ஹங்கேரியில்,ஹ்ஙகேரியில்
107,radarr,ரேடார்,ரேடா்
108,seyyappattar,செய்யப்பட்டார்,செய்யப்பட்டார்
109,masoothiyai,மசூதியை,மசூததியை
110,sekaripputh,சேகரிப்புத்,சேகரிப்புத்
111,veppamaaga,வெப்பமாக,வெப்பமாக
112,mickee,மிக்கி,மிக்கி
113,urudhiyaana,உறுதியான,உறுதியான
114,yuee,யூ,யூ
115,matravargal,மற்றவர்கள்,மற்றவர்ள்
116,thaangkal,தாங்கல்,தாங்க்
117,poandra,போன்ற,போனற்
118,zoorann,ஜோர்டான்,ஜோர்டான்
119,yavvithak,எவ்விதக்,எவ்விதக்்
120,pataitthaan,படைத்தான்,படைத்ததான்
121,kaalaththaich,காலத்தைச்,காலத்தைச்
122,pulambi,புலம்பி,புலம்பி
123,tobago,டொபாகோ,டொபாகோ
124,paithonn,பைதான்,ைதான்
125,eeriya,ஏறிய,ஏறிய
126,piranthapoothu,பிறந்தபோது,பிறந்தபோது
127,vittaal,பிறந்து,பறந்து
128,samamakavum,சமமாகவும்,சமமாகவுும்
129,baava,பாவ,பாாவ
130,ahimsai,அகிம்சை,அகிம்சசை
131,maicroosooft,மைக்ரோசாப்ட்,மைக்ரோசாப்ட்
132,sethamadaindhathu,சேதமடைந்தது,சேதடைந்தது
133,koappaigalai,கோப்பைகளை,கோப்பைகளை
134,mudippu,முடிப்பு,முிப்பு
135,poruppaettru,பொறுப்பேற்று,பொறுப்பேற்று
136,johnukku,ஜானுக்கு,ஜானுக்கு
137,aasiramaththil,ஆசிரமத்தில்,ஆசிரமத்தில்
138,micqy,மிக்கி,மிக்கி
139,surenderr,சரணடைய,சரணடைய
140,entra,இனம்,இம்
141,soazhargalukku,சோழர்களுக்கு,சோழர்களளுக்கு
142,anbai,அன்பை,அன்பை
143,simss,சிம்ஸ்,சிம்ஸ்
144,baathaikalum,பாதைகளும்,பாதைகளும்
145,ethiraali,எதிராளி,எதராளி
146,ipparavai,இப்பறவை,இப்பறவை
147,nuzhaindhadhaal,நுழைந்ததால்,நுழைந்ததால்
148,sanggangkalai,சங்கங்களை,சங்கங்களை
149,golf,கோல்ப்,கோல்பப்
150,tamizhagatthilirundhu,தமிழகத்திலிருந்து,தமிழகத்திலிருந்துு
151,dawidson,டேவிட்சன்,டேவிட்சன்
152,nadaiperaamal,நடைபெறாமல்,நடபைெறாமல்
153,naadukadaththappatta,நாடுகடத்தப்பட்ட,நாடுகடத்தப்பட்ட
154,thanimangalin,தனிமங்களின்,தனிமங்களின்
155,thozhumpoathu,தொழும்போது,தொழும்போது
156,kallooriyilum,கல்லூரியிலும்,க்லலூரியிலும்
157,saimaiththal,சமைத்தல்,சமைத்தல்
158,imaachchala,இமாச்சல,இமாச்ச
159,nav,நவ,நவ
160,aantae,ஆண்டே,ஆண்டே
161,arumbu,அரும்பு,அரும்பு
162,tarbo,டர்போ,டர்போ
163,pettruththandhadhu,பெற்றுத்தந்தது,பெற்ுத்தந்தது
164,nanmaiyaaga,நன்மையாக,நன்மையாக
165,kuraindavai,குறைந்தவை,ுகறைந்தவை
166,ottagam,ஒட்டகம்,ஒட்டகம்
